OBJECTID,X,Y
1656,-77.1531582,35.2985742
1657,-79.8943528,35.3580321
1658,-78.4222982,36.4951015
1659,-77.1261539,34.6916385
1660,-80.9102163,35.8092654
1661,-77.8235508,35.6063875
1662,-80.3627623,35.319284
1663,-81.1209644,36.5078099
1664,-81.1240731,36.50821
1665,-78.0188649,33.9197697
1666,-77.668872,35.4537593
1667,-77.6843799,35.452872
1668,-78.3445948,35.5099169
1669,-79.4611287,35.722403
1670,-77.4280945,36.1286474
1672,-80.4832961,35.62861
1673,-78.9735808,34.8055545
1674,-81.9422975,35.3750872
1675,-77.7385435,35.9319751
1676,-77.253705,35.8236997
1679,-79.5864241,35.4339392
1681,-77.6486366,36.4685089
1683,-79.1613914,35.7194295
1684,-79.181387,35.7208351
1685,-79.190843,34.6815005
1686,-79.0122656,34.9029445
1687,-78.5009356,36.4309974
1688,-79.0481159,35.3419357
1689,-75.9775753,35.1119046
1690,-80.1188945,35.2232431
1691,-81.1568277,36.1588368
1692,-78.358148,35.2441147
1693,-81.2232198,35.6472451
1694,-76.8168209,34.7406811
1695,-81.888085,36.0339591
1696,-81.9281167,36.0881605
1697,-77.0209576,35.0707177
1698,-77.0698554,35.11416
1700,-77.1800518,35.0718111
1701,-80.5234147,34.9769456
1702,-80.7194488,35.1252344
1703,-82.6586395,35.8056064
1704,-82.0042911,35.6830531
1705,-78.9360406,35.4202138
1706,-79.004229,34.6397504
1707,-79.0530545,34.58674
1708,-78.9842907,34.6845281
1709,-77.9468279,36.4615148
1710,-81.2561069,35.4739172
1711,-81.2460527,35.5065253
1712,-77.1769527,36.1229277
1713,-78.0484885,34.3180896
1714,-79.4903403,34.7605151
1715,-77.5837058,35.2708627
1716,-81.3371621,35.2438568
1717,-81.4807017,36.4228117
1718,-76.8976851,35.8107608
1719,-77.9547557,36.2476142
1720,-82.4538197,35.3158362
1722,-77.2046327,35.9395969
1723,-77.6683416,36.3631347
1724,-80.4473823,35.6144396
1725,-81.4151555,35.7899104
1726,-79.4008847,36.0650473
1728,-81.1786002,35.2578594
1729,-77.6427326,36.4958864
1730,-77.6635513,35.4423004
1731,-78.5094357,35.9692076
1732,-78.7938553,35.8546131
1733,-78.592412,36.3260769
1734,-78.3229522,34.9942578
1735,-79.7123452,35.9126947
1736,-80.7095635,35.8111067
1737,-83.3106326,35.4943117
1738,-80.948183,35.100319
1740,-79.4070941,35.3401194
1741,-82.8551681,35.5041577
1742,-78.7753666,36.1380964
1745,-82.4508221,35.7733913
1747,-76.7391944,34.7008417
1748,-80.2589905,35.7700886
1749,-80.5959509,35.3605173
1750,-81.1985001,35.749375
1751,-80.3127729,35.614694
1752,-78.6839249,35.7806255
1753,-81.3075202,35.8206523
1754,-82.5323322,35.5641753
1755,-77.6630573,35.4290235
1756,-78.7231378,36.1451292
1757,-78.7079517,35.8059337
1758,-78.590041,35.8490882
1759,-78.6427732,35.853824
1760,-78.6849828,36.1201578
1761,-79.5734565,35.8529135
1762,-80.5813584,35.4118896
1763,-81.2330816,35.7172557
1764,-80.9937787,35.4793997
1765,-78.635367,35.8089066
1,-76.6284675,35.6829459
2,-80.8927733,35.1294934
3,-80.856199,35.2651782
4,-78.3069429,36.4603594
5,-77.6463007,36.5013957
6,-80.6744212,35.0651481
7,-83.8389632,35.2011594
9,-80.6134142,35.5446158
10,-80.00391,35.9427674
11,-81.0940992,35.3518963
12,-77.6390076,35.790248
14,-83.8279185,35.0379575
16,-81.778768,36.2568704
17,-75.47023,35.5456392
18,-77.0748973,34.6914153
19,-78.2934084,36.1044763
20,-79.1865084,35.4662222
21,-78.5104275,35.8826631
22,-81.3692217,35.2391951
23,-80.8580663,35.2109249
25,-78.0509375,35.961446
26,-78.9005739,36.0346831
27,-80.5773078,35.5720286
